item_id,museum,image_url,proposal_status,match_score,match_rule,candidate_count,top_candidate_count,candidate_paths,proposed_image_local_path,proposed_filename,proposed_sha256,proposed_image_width,proposed_image_height,proposal_version
CMA:165184,CMA,https://openaccess-cdn.clevelandart.org/2007.179/2007.179_web.jpg,unmatched,0,,0,0,,,,,0,0,image_local_path_proposals_v1
CMA:165266,CMA,https://openaccess-cdn.clevelandart.org/2007.2/2007.2_web.jpg,unmatched,0,,0,0,,,,,0,0,image_local_path_proposals_v1
CMA:165267,CMA,https://openaccess-cdn.clevelandart.org/2007.2.1/2007.2.1_web.jpg,unmatched,0,,0,0,,,,,0,0,image_local_path_proposals_v1
CMA:165268,CMA,https://openaccess-cdn.clevelandart.org/2007.2.2/2007.2.2_web.jpg,unmatched,0,,0,0,,,,,0,0,image_local_path_proposals_v1
CMA:165269,CMA,https://openaccess-cdn.clevelandart.org/2007.2.3/2007.2.3_web.jpg,unmatched,0,,0,0,,,,,0,0,image_local_path_proposals_v1
CMA:166766,CMA,https://openaccess-cdn.clevelandart.org/2008.58/2008.58_web.jpg,unmatched,0,,0,0,,,,,0,0,image_local_path_proposals_v1
CMA:169189,CMA,https://openaccess-cdn.clevelandart.org/2011.111.1/2011.111.1_web.jpg,unmatched,0,,0,0,,,,,0,0,image_local_path_proposals_v1
CMA:292530,CMA,https://openaccess-cdn.clevelandart.org/2016.267/2016.267_web.jpg,unmatched,0,,0,0,,,,,0,0,image_local_path_proposals_v1
CMA:302272,CMA,https://openaccess-cdn.clevelandart.org/2017.193/2017.193_web.jpg,unmatched,0,,0,0,,,,,0,0,image_local_path_proposals_v1
MET:307449,MET,https://images.metmuseum.org/CRDImages/ao/original/50407.jpg,unmatched,0,,0,0,,,,,0,0,image_local_path_proposals_v1
MET:307677,MET,https://images.metmuseum.org/CRDImages/ao/original/DP18485.jpg,unmatched,0,,0,0,,,,,0,0,image_local_path_proposals_v1
MET:307679,MET,https://images.metmuseum.org/CRDImages/ao/original/DP18487.jpg,unmatched,0,,0,0,,,,,0,0,image_local_path_proposals_v1
