field,museum,source_key,source_label,record_count,example_item_ids,example_titles,canonical_label,canonical_level,mapping_decision,mapping_rationale,reviewer,review_date
period,CMA,c. 650–100 bce,c. 650–100 BCE,1,CMA:137312,Embroidered Fragment,,,pendiente,,,
period,CMA,c. 700–1100 a.d.,c. 700–1100 A.D.,1,CMA:114132,Tie-Dyed Fragment,,,pendiente,,,
period,CMA,c.1100–1400 a.d.,c.1100–1400 A.D.,1,CMA:119652,Painted Wrapping for Mummy,,,pendiente,,,
period,MET,7th century,7th century,29,MET:307841 || MET:307844 || MET:307950,Bolsa textil || Túnica textil || Faja textil,,,pendiente,,,
period,MET,5th–2nd century bce,5th–2nd century BCE,18,MET:307677 || MET:307679 || MET:307682,Manto textil || Fragmento textil,,,pendiente,,,
period,MET,15th–16th century,15th–16th century,9,MET:307449 || MET:307846 || MET:307941,Bolsa textil || Panel textil || Fragmento textil,,,pendiente,,,
period,MET,3rd–2nd century bce,3rd–2nd century BCE,9,MET:307851 || MET:308039 || MET:308040,Manto textil || Fragmento textil,,,pendiente,,,
period,MET,12th–14th century,12th–14th century,5,MET:307806 || MET:307940 || MET:307943,Fragmento textil || Panel textil,,,pendiente,,,
period,MET,14th–early 16th century,14th–early 16th century,5,MET:316910 || MET:316915 || MET:316916,Fragmento textil || Túnica textil || Objeto textil,,,pendiente,,,
period,MET,7th–9th century,7th–9th century,4,MET:310059 || MET:312614 || MET:312615,Panel textil || Túnica textil,,,pendiente,,,
period,MET,10th–15th century,10th–15th century,3,MET:307842 || MET:307933 || MET:307944,Bolsa textil || Fragmento textil || Faja textil,,,pendiente,,,
period,MET,12th–15th century,12th–15th century,3,MET:310695 || MET:310697 || MET:310698,Banda o vincha textil || Objeto textil,,,pendiente,,,
period,MET,2nd–7th century,2nd–7th century,3,MET:316921 || MET:316925 || MET:316935,Bolsa textil || Banda o vincha textil,,,pendiente,,,
period,MET,7th–10th century,7th–10th century,3,MET:316894 || MET:316906 || MET:316931,Fragmento textil || Túnica textil || Banda o vincha textil,,,pendiente,,,
period,MET,10th–14th century,10th–14th century,2,MET:308084 || MET:310699,Fragmento textil || Banda o vincha textil,,,pendiente,,,
period,MET,1450–1550,1450–1550,2,MET:313152 || MET:313153,Túnica textil,,,pendiente,,,
period,MET,1460–1540,1460–1540,2,MET:308120 || MET:314528,Túnica textil,,,pendiente,,,
period,MET,4th–3rd century bce,4th–3rd century BCE,2,MET:308058 || MET:308078,Fragmento textil,,,pendiente,,,
period,MET,5th–3rd century bce,5th–3rd century BCE,2,MET:308042 || MET:308053,Fragmento textil,,,pendiente,,,
period,MET,5th–4th century bce,5th–4th century BCE,2,MET:308044 || MET:308060,Fragmento textil,,,pendiente,,,
period,MET,650–1000 ce,650–1000 CE,2,MET:307991 || MET:675980,Túnica textil,,,pendiente,,,
period,MET,8th–9th century,8th–9th century,2,MET:307843 || MET:307963,Bolsa textil,,,pendiente,,,
period,MET,1100–1400,1100–1400,1,MET:312669,Panel textil,,,pendiente,,,
period,MET,1400–1530,1400–1530,1,MET:319574,Túnica textil,,,pendiente,,,
period,MET,1460–1626,1460–1626,1,MET:751900,Túnica textil,,,pendiente,,,
period,MET,15th–early 16th century,15th–early 16th century,1,MET:319524,Fragmento textil,,,pendiente,,,
period,MET,15th–early 17th century,15th–early 17th century,1,MET:313324,Túnica textil,,,pendiente,,,
period,MET,1600–1700,1600–1700,1,MET:320054,Objeto textil,,,pendiente,,,
period,MET,17th–18th century,17th–18th century,1,MET:316892,Manto textil,,,pendiente,,,
period,MET,19th century,19th century,1,MET:307836,Bolsa textil,,,pendiente,,,
period,MET,1st century bce–2nd century ce,1st century BCE–2nd century CE,1,MET:314363,Túnica textil,,,pendiente,,,
period,MET,200–700 ce,200–700 CE,1,MET:318746,Faja textil,,,pendiente,,,
period,MET,2nd century bce,2nd century BCE,1,MET:307953,Fragmento textil,,,pendiente,,,
period,MET,3rd century bce–1st century ce,3rd century BCE–1st century CE,1,MET:318460,Objeto textil,,,pendiente,,,
period,MET,450–175 bce,450–175 BCE,1,MET:316945,Fragmento textil,,,pendiente,,,
period,MET,4th–2nd century bce,4th–2nd century BCE,1,MET:308037,Fragmento textil,,,pendiente,,,
period,MET,500–850 ce,500–850 CE,1,MET:315786,Objeto textil,,,pendiente,,,
period,MET,650-850 ce,650-850 CE,1,MET:316913,Bolsa textil,,,pendiente,,,
period,MET,6th–5th century bce,6th–5th century BCE,1,MET:310511,Manto textil,,,pendiente,,,
period,MET,6th–8th century,6th–8th century,1,MET:315772,Banda o vincha textil,,,pendiente,,,
period,MET,800–850 ce,800–850 CE,1,MET:307975,Túnica textil,,,pendiente,,,
period,MET,late 16th–17th century,late 16th–17th century,1,MET:320804,Fragmento textil,,,pendiente,,,
