baseline_version,run_index,generator_seed,culture_canonical,evaluation_scope,query_count,mrr,precision_at_1,recall_at_1,ndcg_at_1,precision_at_5,recall_at_5,ndcg_at_5,precision_at_10,recall_at_10,ndcg_at_10
random_multiseed_baseline_v1,7,20260721,Ychsma,strict_culture_universe,2,0.008557010166020625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random_multiseed_baseline_v1,8,20260722,Chancay,strict_culture_universe,31,0.47960829493087553,0.2903225806451613,0.00967741935483871,0.2903225806451613,0.21935483870967745,0.03655913978494624,0.22964976785696242,0.20967741935483872,0.06989247311827956,0.21845632048734437
random_multiseed_baseline_v1,8,20260722,Chimu,strict_culture_universe,6,0.06965336787466862,0.0,0.0,0.0,0.03333333333333333,0.03333333333333333,0.02434472497378441,0.016666666666666666,0.03333333333333333,0.02434472497378441
random_multiseed_baseline_v1,8,20260722,Inca,strict_culture_universe,17,0.3484215973779541,0.11764705882352941,0.007352941176470588,0.11764705882352941,0.14117647058823532,0.04411764705882353,0.14558800206219166,0.13529411764705884,0.08455882352941177,0.1419741012111043
random_multiseed_baseline_v1,8,20260722,Moche,strict_culture_universe,6,0.03652221903160576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random_multiseed_baseline_v1,8,20260722,Nasca,strict_culture_universe,35,0.49871882086167796,0.2571428571428571,0.007563025210084034,0.2571428571428571,0.22857142857142856,0.03361344537815126,0.24524245824993532,0.25142857142857145,0.07394957983193277,0.25340997617023725
random_multiseed_baseline_v1,8,20260722,Paracas,strict_culture_universe,42,0.43124527588813305,0.2619047619047619,0.006387921022067364,0.2619047619047619,0.20476190476190476,0.02497096399535424,0.21329511514966998,0.24285714285714288,0.059233449477351915,0.23625061712664755
random_multiseed_baseline_v1,8,20260722,Recuay,strict_culture_universe,3,0.0177064961787184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random_multiseed_baseline_v1,8,20260722,Wari,strict_culture_universe,15,0.18428105825087532,0.06666666666666667,0.0047619047619047615,0.06666666666666667,0.08000000000000002,0.02857142857142857,0.07344414584966578,0.07333333333333333,0.05238095238095238,0.072049952294984
random_multiseed_baseline_v1,8,20260722,Ychsma,strict_culture_universe,2,0.007081097197376267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random_multiseed_baseline_v1,9,20260723,Chancay,strict_culture_universe,31,0.36544011544011545,0.16129032258064516,0.005376344086021505,0.16129032258064516,0.1935483870967742,0.03225806451612903,0.19026896168564558,0.2129032258064516,0.07096774193548387,0.20484037353452775
random_multiseed_baseline_v1,9,20260723,Chimu,strict_culture_universe,6,0.06259106673534028,0.0,0.0,0.0,0.03333333333333333,0.03333333333333333,0.02434472497378441,0.016666666666666666,0.03333333333333333,0.02434472497378441
random_multiseed_baseline_v1,9,20260723,Inca,strict_culture_universe,17,0.36191411012070984,0.23529411764705882,0.014705882352941176,0.23529411764705882,0.11764705882352941,0.03676470588235294,0.14123805783483437,0.08823529411764706,0.05514705882352941,0.11325061009433553
random_multiseed_baseline_v1,9,20260723,Moche,strict_culture_universe,6,0.06710854107825309,0.0,0.0,0.0,0.0,0.0,0.0,0.03333333333333333,0.06666666666666667,0.0366744223541893
random_multiseed_baseline_v1,9,20260723,Nasca,strict_culture_universe,35,0.5399129955012308,0.34285714285714286,0.010084033613445377,0.34285714285714286,0.26857142857142857,0.03949579831932773,0.2820403504565183,0.2542857142857143,0.07478991596638655,0.26648294259008665
random_multiseed_baseline_v1,9,20260723,Paracas,strict_culture_universe,42,0.4851270422698994,0.2857142857142857,0.006968641114982579,0.2857142857142857,0.27142857142857146,0.03310104529616725,0.2721902442300355,0.2619047619047619,0.06387921022067364,0.26587843613726614
random_multiseed_baseline_v1,9,20260723,Recuay,strict_culture_universe,3,0.02298584839568446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random_multiseed_baseline_v1,9,20260723,Wari,strict_culture_universe,15,0.30148632503351486,0.13333333333333333,0.009523809523809523,0.13333333333333333,0.08000000000000002,0.02857142857142857,0.09932395382584153,0.06666666666666667,0.04761904761904761,0.08296808332897716
random_multiseed_baseline_v1,9,20260723,Ychsma,strict_culture_universe,2,0.01009495252373813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random_multiseed_baseline_v1,10,20260724,Chancay,strict_culture_universe,31,0.39155606937865,0.12903225806451613,0.004301075268817204,0.12903225806451613,0.24516129032258066,0.040860215053763436,0.22782849122293075,0.1935483870967742,0.06451612903225806,0.19745359871863902
random_multiseed_baseline_v1,10,20260724,Chimu,strict_culture_universe,6,0.08074606186560646,0.0,0.0,0.0,0.0,0.0,0.0,0.03333333333333333,0.06666666666666667,0.036475098088475204
random_multiseed_baseline_v1,10,20260724,Inca,strict_culture_universe,17,0.27621912401324167,0.11764705882352941,0.007352941176470588,0.11764705882352941,0.11764705882352941,0.03676470588235294,0.11540050763346518,0.07647058823529412,0.04779411764705882,0.08726048217724829
random_multiseed_baseline_v1,10,20260724,Moche,strict_culture_universe,6,0.2640281258702311,0.16666666666666666,0.03333333333333333,0.16666666666666666,0.06666666666666667,0.06666666666666667,0.08087142585272043,0.06666666666666667,0.13333333333333333,0.11802287548978807
random_multiseed_baseline_v1,10,20260724,Nasca,strict_culture_universe,35,0.4516082330368045,0.2857142857142857,0.008403361344537815,0.2857142857142857,0.18857142857142858,0.02773109243697479,0.20753220325180613,0.23714285714285716,0.06974789915966387,0.23512271982778446
random_multiseed_baseline_v1,10,20260724,Paracas,strict_culture_universe,42,0.44136759404616543,0.23809523809523808,0.005807200929152149,0.23809523809523808,0.2571428571428572,0.0313588850174216,0.24827046441405218,0.24761904761904763,0.06039488966318235,0.24404481839793452
random_multiseed_baseline_v1,10,20260724,Recuay,strict_culture_universe,3,0.0196343779677113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random_multiseed_baseline_v1,10,20260724,Wari,strict_culture_universe,15,0.2758286742497269,0.13333333333333333,0.009523809523809523,0.13333333333333333,0.09333333333333334,0.03333333333333333,0.10610143300884066,0.07333333333333333,0.05238095238095238,0.08843798661777086
random_multiseed_baseline_v1,10,20260724,Ychsma,strict_culture_universe,2,0.013027916964924838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random_multiseed_baseline_v1,11,20260725,Chancay,strict_culture_universe,31,0.4117221619830728,0.1935483870967742,0.0064516129032258064,0.1935483870967742,0.1870967741935484,0.03118279569892473,0.19712657071895445,0.19677419354838713,0.06559139784946236,0.20034231634257432
random_multiseed_baseline_v1,11,20260725,Chimu,strict_culture_universe,6,0.04966434153965001,0.0,0.0,0.0,0.0,0.0,0.0,0.016666666666666666,0.03333333333333333,0.018842233626312006
random_multiseed_baseline_v1,11,20260725,Inca,strict_culture_universe,17,0.2601492364044524,0.11764705882352941,0.007352941176470588,0.11764705882352941,0.07058823529411766,0.022058823529411766,0.08138625690419621,0.08823529411764706,0.05514705882352941,0.09054041276103802
random_multiseed_baseline_v1,11,20260725,Moche,strict_culture_universe,6,0.11851851851851852,0.0,0.0,0.0,0.03333333333333333,0.03333333333333333,0.02186751291872363,0.06666666666666667,0.13333333333333333,0.07535884352768411
random_multiseed_baseline_v1,11,20260725,Nasca,strict_culture_universe,35,0.48836167800453517,0.2571428571428571,0.007563025210084034,0.2571428571428571,0.2571428571428571,0.037815126050420166,0.25799218699030657,0.25142857142857145,0.07394957983193277,0.2542023789696363
random_multiseed_baseline_v1,11,20260725,Paracas,strict_culture_universe,42,0.4700207860922147,0.2619047619047619,0.006387921022067364,0.2619047619047619,0.2619047619047619,0.03193960511033682,0.25649367863167705,0.24761904761904763,0.06039488966318235,0.24843002481971613
random_multiseed_baseline_v1,11,20260725,Recuay,strict_culture_universe,3,0.00948894266841884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random_multiseed_baseline_v1,11,20260725,Wari,strict_culture_universe,15,0.3820959595959596,0.26666666666666666,0.019047619047619046,0.26666666666666666,0.10666666666666667,0.03809523809523809,0.13094948789106783,0.08666666666666667,0.0619047619047619,0.10892924213470634
random_multiseed_baseline_v1,11,20260725,Ychsma,strict_culture_universe,2,0.014682539682539682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random_multiseed_baseline_v1,12,20260726,Chancay,strict_culture_universe,31,0.2806456536295246,0.06451612903225806,0.002150537634408602,0.06451612903225806,0.1935483870967742,0.03225806451612903,0.16460899734043757,0.2032258064516129,0.06774193548387097,0.18183065308914087
random_multiseed_baseline_v1,12,20260726,Chimu,strict_culture_universe,6,0.03810805255593697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
