baseline_version,culture_canonical,metric,run_count,mean,std,min,q025,median,q975,max
random_multiseed_baseline_v1,Nasca,precision_at_5,100,0.2170285714285714,0.03200680199816376,0.13714285714285715,0.16242857142857145,0.21714285714285717,0.2715714285714285,0.28
random_multiseed_baseline_v1,Nasca,recall_at_5,100,0.03191596638655461,0.004706882646788788,0.020168067226890754,0.02388655462184874,0.031932773109243695,0.03993697478991596,0.041176470588235294
random_multiseed_baseline_v1,Nasca,ndcg_at_5,100,0.21817283846370691,0.035782444606566884,0.14535462684267103,0.15385812578833039,0.21311188011252463,0.28730680537108666,0.2951922481028117
random_multiseed_baseline_v1,Nasca,precision_at_10,100,0.21914285714285714,0.022984852459590793,0.1542857142857143,0.17685714285714285,0.21714285714285717,0.26,0.28285714285714286
random_multiseed_baseline_v1,Nasca,recall_at_10,100,0.06445378151260503,0.0067602507234090555,0.0453781512605042,0.052016806722689074,0.06386554621848739,0.07647058823529412,0.08319327731092437
random_multiseed_baseline_v1,Nasca,ndcg_at_10,100,0.21930309418015306,0.025066532866695284,0.15305254936115553,0.1733313719010757,0.21781826564110468,0.26603063043155595,0.29152189958020774
random_multiseed_baseline_v1,Paracas,mrr,100,0.47765467559602526,0.05521555106023171,0.349813258636788,0.3722664826905898,0.4743932758970353,0.5876444364167577,0.6871126228269085
random_multiseed_baseline_v1,Paracas,precision_at_1,100,0.2671428571428571,0.07594205532638532,0.09523809523809523,0.14285714285714285,0.2619047619047619,0.42857142857142855,0.5714285714285714
random_multiseed_baseline_v1,Paracas,recall_at_1,100,0.006515679442508712,0.0018522452518630564,0.0023228803716608595,0.0034843205574912896,0.006387921022067364,0.010452961672473868,0.013937282229965159
random_multiseed_baseline_v1,Paracas,ndcg_at_1,100,0.2671428571428571,0.07594205532638532,0.09523809523809523,0.14285714285714285,0.2619047619047619,0.42857142857142855,0.5714285714285714
random_multiseed_baseline_v1,Paracas,precision_at_5,100,0.2570952380952381,0.02840657104195876,0.2,0.20952380952380953,0.2619047619047619,0.31202380952380954,0.3333333333333333
random_multiseed_baseline_v1,Paracas,recall_at_5,100,0.03135307781649245,0.0034642159807266775,0.024390243902439025,0.025551684088269456,0.03193960511033682,0.03805168408826945,0.04065040650406504
random_multiseed_baseline_v1,Paracas,ndcg_at_5,100,0.2584960012112462,0.030797548232198494,0.1808651350789841,0.20525223921402397,0.257142694294083,0.3168896521719814,0.34569984135156506
random_multiseed_baseline_v1,Paracas,precision_at_10,100,0.25761904761904764,0.01931628702798538,0.21904761904761902,0.21904761904761907,0.25952380952380955,0.29285714285714287,0.30238095238095236
random_multiseed_baseline_v1,Paracas,recall_at_10,100,0.06283391405342625,0.004711289519020822,0.05342624854819977,0.05342624854819977,0.06329849012775843,0.07142857142857142,0.07375145180023229
random_multiseed_baseline_v1,Paracas,ndcg_at_10,100,0.2583257955991548,0.022125322044355026,0.20602055697664887,0.21343573333702037,0.2574037235697664,0.2989421364117288,0.32994295673857893
random_multiseed_baseline_v1,Recuay,mrr,100,0.04502352983290997,0.05552937290061579,0.00948894266841884,0.012581190428334886,0.02623103447571533,0.17733780108780106,0.35006901311249145
random_multiseed_baseline_v1,Recuay,precision_at_1,100,0.006666666666666666,0.04690176471209657,0.0,0.0,0.0,0.0,0.3333333333333333
random_multiseed_baseline_v1,Recuay,recall_at_1,100,0.003333333333333333,0.023450882356048284,0.0,0.0,0.0,0.0,0.16666666666666666
random_multiseed_baseline_v1,Recuay,ndcg_at_1,100,0.006666666666666666,0.04690176471209657,0.0,0.0,0.0,0.0,0.3333333333333333
random_multiseed_baseline_v1,Recuay,precision_at_5,100,0.008,0.021773242158072692,0.0,0.0,0.0,0.06666666666666667,0.06666666666666667
random_multiseed_baseline_v1,Recuay,recall_at_5,100,0.019999999999999997,0.05443310539518174,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666
random_multiseed_baseline_v1,Recuay,ndcg_at_5,100,0.01397017439724339,0.04064693679194392,0.0,0.0,0.0,0.11624006069331,0.20438239758848611
random_multiseed_baseline_v1,Recuay,precision_at_10,100,0.008,0.016494055658141576,0.0,0.0,0.0,0.05083333333333305,0.06666666666666667
random_multiseed_baseline_v1,Recuay,recall_at_10,100,0.039999999999999994,0.08247027829070787,0.0,0.0,0.0,0.2541666666666652,0.3333333333333333
random_multiseed_baseline_v1,Recuay,ndcg_at_10,100,0.02162017999948109,0.046845100012444525,0.0,0.0,0.0,0.16255483280480837,0.20438239758848611
random_multiseed_baseline_v1,Wari,mrr,100,0.24265004634746132,0.06785911594724921,0.11807511554789232,0.14097549223397238,0.22759678642463993,0.3863566919191918,0.45500093370681605
random_multiseed_baseline_v1,Wari,precision_at_1,100,0.094,0.0683918202524328,0.0,0.0,0.06666666666666667,0.26666666666666666,0.26666666666666666
random_multiseed_baseline_v1,Wari,recall_at_1,100,0.006714285714285713,0.004885130018030914,0.0,0.0,0.0047619047619047615,0.019047619047619046,0.019047619047619046
random_multiseed_baseline_v1,Wari,ndcg_at_1,100,0.094,0.0683918202524328,0.0,0.0,0.06666666666666667,0.26666666666666666,0.26666666666666666
random_multiseed_baseline_v1,Wari,precision_at_5,100,0.08839999999999998,0.033132323216925816,0.013333333333333334,0.03300000000000001,0.09333333333333334,0.15366666666666656,0.18666666666666665
random_multiseed_baseline_v1,Wari,recall_at_5,100,0.03157142857142856,0.011832972577473505,0.0047619047619047615,0.011785714285714285,0.03333333333333333,0.05488095238095234,0.06666666666666667
random_multiseed_baseline_v1,Wari,ndcg_at_5,100,0.08984641914114563,0.034682682725080106,0.02261068035157441,0.03182835580952541,0.09102570394663405,0.16765869712717338,0.19977241376781535
random_multiseed_baseline_v1,Wari,precision_at_10,100,0.08773333333333336,0.0216433700187563,0.02666666666666667,0.05333333333333334,0.08666666666666667,0.13333333333333333,0.14666666666666667
random_multiseed_baseline_v1,Wari,recall_at_10,100,0.06266666666666666,0.015459550013397353,0.019047619047619046,0.03809523809523809,0.0619047619047619,0.09523809523809522,0.10476190476190476
random_multiseed_baseline_v1,Wari,ndcg_at_10,100,0.08891963789381684,0.024469341150202453,0.03291193573782777,0.04961596857344821,0.08766907307146973,0.1400602007724263,0.1591781922482447
random_multiseed_baseline_v1,Ychsma,mrr,100,0.022624484811889854,0.02059265238860045,0.007081097197376267,0.007478127165627166,0.014940937615356219,0.08585164835164832,0.12934782608695652
random_multiseed_baseline_v1,Ychsma,precision_at_1,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random_multiseed_baseline_v1,Ychsma,recall_at_1,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random_multiseed_baseline_v1,Ychsma,ndcg_at_1,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random_multiseed_baseline_v1,Ychsma,precision_at_5,100,0.002,0.014070529413628973,0.0,0.0,0.0,0.0,0.1
random_multiseed_baseline_v1,Ychsma,recall_at_5,100,0.01,0.07035264706814483,0.0,0.0,0.0,0.0,0.5
random_multiseed_baseline_v1,Ychsma,ndcg_at_5,100,0.004087646826539674,0.02879980751495468,0.0,0.0,0.0,0.0,0.21533827903669653
random_multiseed_baseline_v1,Ychsma,precision_at_10,100,0.0035000000000000005,0.012821619998812138,0.0,0.0,0.0,0.05,0.05
random_multiseed_baseline_v1,Ychsma,recall_at_10,100,0.035,0.1282161999881214,0.0,0.0,0.0,0.5,0.5
random_multiseed_baseline_v1,Ychsma,ndcg_at_10,100,0.011990973516975702,0.04439308104922038,0.0,0.0,0.0,0.17267105328252239,0.21533827903669653
