baseline_version,run_index,generator_seed,evaluation_scope,query_count,mrr,precision_at_1,recall_at_1,ndcg_at_1,precision_at_5,recall_at_5,ndcg_at_5,precision_at_10,recall_at_10,ndcg_at_10
random_multiseed_baseline_v1,42,20260756,strict_culture_universe,157,0.3546596721771992,0.17197452229299362,0.0057059502377928015,0.17197452229299362,0.18216560509554142,0.03224065919672203,0.17941515598060448,0.18917197452229303,0.06456359613909259,0.1861015305311267
random_multiseed_baseline_v1,43,20260757,strict_culture_universe,157,0.37445241423612097,0.1910828025477707,0.006747319092309909,0.1910828025477707,0.19617834394904457,0.034466406571949895,0.19340948453871495,0.19363057324840766,0.06716847605905808,0.1942304673471895
random_multiseed_baseline_v1,44,20260758,strict_culture_universe,157,0.34564161176695396,0.17834394904458598,0.0056365368891070486,0.17834394904458598,0.15286624203821655,0.032413531670241504,0.15892642519802724,0.16878980891719744,0.06322147780970397,0.16975100312415672
random_multiseed_baseline_v1,45,20260759,strict_culture_universe,157,0.37949989980572274,0.19745222929936307,0.007202463088699827,0.19745222929936307,0.16050955414012738,0.027299719017636573,0.17151790000119624,0.1656050955414013,0.0560900109616629,0.17244425565631277
random_multiseed_baseline_v1,46,20260760,strict_culture_universe,157,0.3689345955446094,0.19745222929936307,0.007820710232205357,0.19745222929936307,0.18089171974522292,0.03507140311460921,0.1833337349794585,0.1694267515923567,0.06590008459496896,0.17772616450461615
random_multiseed_baseline_v1,47,20260761,strict_culture_universe,157,0.32668722963218755,0.14012738853503184,0.00444380874922596,0.14012738853503184,0.1643312101910828,0.025999745866965705,0.1629917250357603,0.1726114649681529,0.05437897545222843,0.1693178496634216
random_multiseed_baseline_v1,48,20260762,strict_culture_universe,157,0.3368982271546938,0.14012738853503184,0.0039014642675463847,0.14012738853503184,0.1834394904458599,0.030928991139721383,0.17696046150997022,0.18662420382165607,0.06547419962236876,0.18268014199300878
random_multiseed_baseline_v1,49,20260763,strict_culture_universe,157,0.332858579132038,0.1464968152866242,0.005758691545594469,0.1464968152866242,0.1681528662420382,0.029648986361672208,0.16257189175894401,0.17898089171974524,0.06521331617935353,0.1735075976096688
random_multiseed_baseline_v1,50,20260764,strict_culture_universe,157,0.3917081914558546,0.20382165605095542,0.006756647819917155,0.20382165605095542,0.18343949044585986,0.034080044943253056,0.18851052386881473,0.17643312101910827,0.06625959145503782,0.18466268514293455
random_multiseed_baseline_v1,51,20260765,strict_culture_universe,157,0.3727787516092422,0.21656050955414013,0.00764740803887191,0.21656050955414013,0.17834394904458598,0.027904759076226426,0.18469163188864476,0.1789808917197452,0.05949748782533054,0.1842640428414285
random_multiseed_baseline_v1,52,20260766,strict_culture_universe,157,0.38044613200736777,0.20382165605095542,0.0070422428719817895,0.20382165605095542,0.18980891719745221,0.03148445567445558,0.1891106598415576,0.18407643312101912,0.06525437345980804,0.18614263731823283
random_multiseed_baseline_v1,53,20260767,strict_culture_universe,157,0.37358169290720217,0.21656050955414013,0.007060253027729656,0.21656050955414013,0.16560509554140126,0.027528612812221364,0.17561684104851924,0.1745222929936306,0.061049255029027305,0.17893632011956265
random_multiseed_baseline_v1,54,20260768,strict_culture_universe,157,0.3760181706347468,0.21656050955414013,0.00902259847546289,0.21656050955414013,0.1643312101910828,0.029365235297163755,0.1720295517202197,0.17452229299363062,0.06144247585627384,0.1790007384200715
random_multiseed_baseline_v1,55,20260769,strict_culture_universe,157,0.3541037534489406,0.1592356687898089,0.005013698814930664,0.1592356687898089,0.18089171974522292,0.029173400756916098,0.1792999692191359,0.17388535031847133,0.0592520362191793,0.17599060881456197
