replicate,metric,configuration_a,value_a,configuration_b,value_b,difference_b_minus_a
41,recall_at_5,text_metadata,0.0558139534884,text_fused_alpha_0.50,0.0604651162791,0.0046511627907
41,recall_at_10,text_metadata,0.0883720930233,text_fused_alpha_0.50,0.106976744186,0.0186046511628
42,mrr,text_metadata,0.0630191559983,text_fused_alpha_0.50,0.0525137261628,-0.0105054298356
42,mean_rank,text_metadata,71.9162790698,text_fused_alpha_0.50,70.7069767442,-1.20930232558
42,median_rank,text_metadata,60,text_fused_alpha_0.50,50,-10
42,recall_at_1,text_metadata,0.0186046511628,text_fused_alpha_0.50,0.0093023255814,-0.0093023255814
42,recall_at_5,text_metadata,0.0744186046512,text_fused_alpha_0.50,0.0511627906977,-0.0232558139535
42,recall_at_10,text_metadata,0.102325581395,text_fused_alpha_0.50,0.120930232558,0.0186046511628
43,mrr,text_metadata,0.0544433811145,text_fused_alpha_0.50,0.0591253999387,0.00468201882427
43,mean_rank,text_metadata,69.7720930233,text_fused_alpha_0.50,69.2046511628,-0.567441860465
43,median_rank,text_metadata,59,text_fused_alpha_0.50,55,-4
43,recall_at_1,text_metadata,0,text_fused_alpha_0.50,0.0046511627907,0.0046511627907
43,recall_at_5,text_metadata,0.0651162790698,text_fused_alpha_0.50,0.0883720930233,0.0232558139535
43,recall_at_10,text_metadata,0.125581395349,text_fused_alpha_0.50,0.13488372093,0.0093023255814
44,mrr,text_metadata,0.0698731839986,text_fused_alpha_0.50,0.0594130924606,-0.010460091538
44,mean_rank,text_metadata,71.4697674419,text_fused_alpha_0.50,71.5162790698,0.046511627907
44,median_rank,text_metadata,62,text_fused_alpha_0.50,62,0
44,recall_at_1,text_metadata,0.0232558139535,text_fused_alpha_0.50,0.0186046511628,-0.0046511627907
44,recall_at_5,text_metadata,0.0837209302326,text_fused_alpha_0.50,0.0558139534884,-0.0279069767442
44,recall_at_10,text_metadata,0.120930232558,text_fused_alpha_0.50,0.106976744186,-0.0139534883721
45,mrr,text_metadata,0.0492823451189,text_fused_alpha_0.50,0.0585152436007,0.00923289848176
45,mean_rank,text_metadata,71.5534883721,text_fused_alpha_0.50,70.7813953488,-0.772093023256
45,median_rank,text_metadata,55,text_fused_alpha_0.50,50,-5
45,recall_at_1,text_metadata,0,text_fused_alpha_0.50,0.0139534883721,0.0139534883721
45,recall_at_5,text_metadata,0.0604651162791,text_fused_alpha_0.50,0.0651162790698,0.0046511627907
45,recall_at_10,text_metadata,0.106976744186,text_fused_alpha_0.50,0.125581395349,0.0186046511628
46,mrr,text_metadata,0.0735279088732,text_fused_alpha_0.50,0.0745022721242,0.000974363251037
46,mean_rank,text_metadata,78.6372093023,text_fused_alpha_0.50,75.7348837209,-2.9023255814
46,median_rank,text_metadata,65,text_fused_alpha_0.50,63,-2
46,recall_at_1,text_metadata,0.0279069767442,text_fused_alpha_0.50,0.0232558139535,-0.0046511627907
46,recall_at_5,text_metadata,0.0837209302326,text_fused_alpha_0.50,0.0976744186047,0.0139534883721
46,recall_at_10,text_metadata,0.13023255814,text_fused_alpha_0.50,0.148837209302,0.0186046511628
47,mrr,text_metadata,0.0567002028647,text_fused_alpha_0.50,0.0584258205948,0.00172561773013
47,mean_rank,text_metadata,71.4372093023,text_fused_alpha_0.50,68.5209302326,-2.91627906977
47,median_rank,text_metadata,59,text_fused_alpha_0.50,55,-4
47,recall_at_1,text_metadata,0.0186046511628,text_fused_alpha_0.50,0.0186046511628,0
47,recall_at_5,text_metadata,0.046511627907,text_fused_alpha_0.50,0.0651162790698,0.0186046511628
47,recall_at_10,text_metadata,0.0976744186047,text_fused_alpha_0.50,0.111627906977,0.0139534883721
