field,field_role,category_key,category_label,total_count,met_count,cma_count,museum_count,dominant_museum,museum_dominance,status
technique,diagnostic,interlocking warp and weft: wool,interlocking warp and weft: wool,1,0,1,1,CMA,1.0,diagnostic_only
technique,diagnostic,looped camelid fiber,looped camelid fiber,1,0,1,1,CMA,1.0,diagnostic_only
technique,diagnostic,plain cloth with overlaid tapestry-like decoration; cotton and wool,plain cloth with overlaid tapestry-like decoration; cotton and wool,1,0,1,1,CMA,1.0,diagnostic_only
technique,diagnostic,"plain cloth, brocaded; cotton","plain cloth, brocaded; cotton",1,0,1,1,CMA,1.0,diagnostic_only
technique,diagnostic,"plain cloth, painted; cotton","plain cloth, painted; cotton",1,0,1,1,CMA,1.0,diagnostic_only
technique,diagnostic,plain compound twill and plain compound tabby; cotton,plain compound twill and plain compound tabby; cotton,1,0,1,1,CMA,1.0,diagnostic_only
technique,diagnostic,"plain tabby, brocaded: wool and cotton","plain tabby, brocaded: wool and cotton",1,0,1,1,CMA,1.0,diagnostic_only
technique,diagnostic,"plain warp-faced cloth, painted","plain warp-faced cloth, painted",1,0,1,1,CMA,1.0,diagnostic_only
technique,diagnostic,"plain weave, tapestry weave; cotton, camelid fiber","plain weave, tapestry weave; cotton, camelid fiber",1,0,1,1,CMA,1.0,diagnostic_only
technique,diagnostic,"slit tapestry, cotton warp, camelid-fiber wefts","slit tapestry, cotton warp, camelid-fiber wefts",1,0,1,1,CMA,1.0,diagnostic_only
technique,diagnostic,tabby weave with supplementary pattern weft; cotton,tabby weave with supplementary pattern weft; cotton,1,0,1,1,CMA,1.0,diagnostic_only
technique,diagnostic,"tabby weave, double cloth; cotton","tabby weave, double cloth; cotton",1,0,1,1,CMA,1.0,diagnostic_only
technique,diagnostic,"tabby weave, warp patterned; wool","tabby weave, warp patterned; wool",1,0,1,1,CMA,1.0,diagnostic_only
technique,diagnostic,"tabby, brocaded; border: single-face pattern weave (fancy twill); cotton and wool","tabby, brocaded; border: single-face pattern weave (fancy twill); cotton and wool",1,0,1,1,CMA,1.0,diagnostic_only
technique,diagnostic,"tabby, brocaded; cotton","tabby, brocaded; cotton",1,0,1,1,CMA,1.0,diagnostic_only
technique,diagnostic,"tapestry and fancy twill, brocaded; twill","tapestry and fancy twill, brocaded; twill",1,0,1,1,CMA,1.0,diagnostic_only
technique,diagnostic,tapestry weave: wool,tapestry weave: wool,1,0,1,1,CMA,1.0,diagnostic_only
technique,diagnostic,tapestry weave; cotton and wool,tapestry weave; cotton and wool,1,0,1,1,CMA,1.0,diagnostic_only
technique,diagnostic,tapestry with interlocked wefts: wool and cotton,tapestry with interlocked wefts: wool and cotton,1,0,1,1,CMA,1.0,diagnostic_only
technique,diagnostic,tapestry: cotton and wool,tapestry: cotton and wool,1,0,1,1,CMA,1.0,diagnostic_only
technique,diagnostic,tapestry; cotton and camelid fiber,tapestry; cotton and camelid fiber,1,0,1,1,CMA,1.0,diagnostic_only
technique,diagnostic,tapestry; interlocked wefts and areas of eccentric weaving: wool and cotton,tapestry; interlocked wefts and areas of eccentric weaving: wool and cotton,1,0,1,1,CMA,1.0,diagnostic_only
technique,diagnostic,triple cloth: wool,triple cloth: wool,1,0,1,1,CMA,1.0,diagnostic_only
technique,diagnostic,"two pieces plain cloth, two pieces compound twill; cotton","two pieces plain cloth, two pieces compound twill; cotton",1,0,1,1,CMA,1.0,diagnostic_only
technique,diagnostic,"warp-faced cloth, painted: cotton","warp-faced cloth, painted: cotton",1,0,1,1,CMA,1.0,diagnostic_only
technique,diagnostic,white cotton; plain weave with supplementary weft brocading,white cotton; plain weave with supplementary weft brocading,1,0,1,1,CMA,1.0,diagnostic_only
technique,diagnostic,wool,wool,1,0,1,1,CMA,1.0,diagnostic_only
technique,diagnostic,wool and cotton: needle reseau (netting),wool and cotton: needle reseau (netting),1,0,1,1,CMA,1.0,diagnostic_only
technique,diagnostic,wool embroidery on wool tabby ground,wool embroidery on wool tabby ground,1,0,1,1,CMA,1.0,diagnostic_only
