field,met_source_key,met_source_label,met_count,cma_source_key,cma_source_label,cma_count,token_jaccard,substring_match,common_tokens,candidate_score
period,2nd century bce,2nd century BCE,1,200 bce–1 ce,200 BCE–1 CE,2,0.2,False,bce,0.2
period,2nd century bce,2nd century BCE,1,200 bce–200 ce,200 BCE–200 CE,1,0.2,False,bce,0.2
period,3rd–2nd century bce,3rd–2nd century BCE,9,16th century,16th century,1,0.2,False,century,0.2
period,3rd–2nd century bce,3rd–2nd century BCE,9,200–1 bce,200–1 BCE,6,0.2,False,bce,0.2
period,3rd–2nd century bce,3rd–2nd century BCE,9,700–1 bce,700–1 BCE,1,0.2,False,bce,0.2
period,450–175 bce,450–175 BCE,1,200 bce–1 ce,200 BCE–1 CE,2,0.2,False,bce,0.2
period,450–175 bce,450–175 BCE,1,200 bce–200 ce,200 BCE–200 CE,1,0.2,False,bce,0.2
period,450–175 bce,450–175 BCE,1,300–100 bce,300–100 BCE,1,0.2,False,bce,0.2
period,4th–2nd century bce,4th–2nd century BCE,1,16th century,16th century,1,0.2,False,century,0.2
period,4th–2nd century bce,4th–2nd century BCE,1,200–1 bce,200–1 BCE,6,0.2,False,bce,0.2
period,4th–2nd century bce,4th–2nd century BCE,1,700–1 bce,700–1 BCE,1,0.2,False,bce,0.2
period,4th–3rd century bce,4th–3rd century BCE,2,16th century,16th century,1,0.2,False,century,0.2
period,4th–3rd century bce,4th–3rd century BCE,2,200–1 bce,200–1 BCE,6,0.2,False,bce,0.2
period,4th–3rd century bce,4th–3rd century BCE,2,700–1 bce,700–1 BCE,1,0.2,False,bce,0.2
period,500–850 ce,500–850 CE,1,200 bce–1 ce,200 BCE–1 CE,2,0.2,False,ce,0.2
period,500–850 ce,500–850 CE,1,200 bce–200 ce,200 BCE–200 CE,1,0.2,False,ce,0.2
period,500–850 ce,500–850 CE,1,500–200 bce,500–200 BCE,1,0.2,False,500,0.2
period,5th–2nd century bce,5th–2nd century BCE,18,16th century,16th century,1,0.2,False,century,0.2
period,5th–2nd century bce,5th–2nd century BCE,18,200–1 bce,200–1 BCE,6,0.2,False,bce,0.2
period,5th–2nd century bce,5th–2nd century BCE,18,700–1 bce,700–1 BCE,1,0.2,False,bce,0.2
period,5th–3rd century bce,5th–3rd century BCE,2,16th century,16th century,1,0.2,False,century,0.2
