configuration,candidate_rank,candidate_item_id,candidate_museum,top1_count,self_match_count,false_top1_count,top1_share,is_top1_hub
text_metadata,69,CMA:119656,CMA,0,0,0,0,False
text_metadata,70,CMA:119675,CMA,0,0,0,0,False
text_metadata,71,CMA:119676,CMA,0,0,0,0,False
text_metadata,72,CMA:119677,CMA,0,0,0,0,False
text_metadata,73,CMA:119678,CMA,0,0,0,0,False
text_metadata,74,CMA:119679,CMA,0,0,0,0,False
text_metadata,75,CMA:119683,CMA,0,0,0,0,False
text_metadata,76,CMA:119684,CMA,0,0,0,0,False
text_metadata,77,CMA:119686,CMA,0,0,0,0,False
text_metadata,78,CMA:119687,CMA,0,0,0,0,False
text_metadata,79,CMA:119688,CMA,0,0,0,0,False
text_metadata,80,CMA:119693,CMA,0,0,0,0,False
text_metadata,81,CMA:124739,CMA,0,0,0,0,False
text_metadata,82,CMA:124740,CMA,0,0,0,0,False
text_metadata,83,CMA:124741,CMA,0,0,0,0,False
text_metadata,84,CMA:125095,CMA,0,0,0,0,False
text_metadata,85,CMA:126684,CMA,0,0,0,0,False
text_metadata,86,CMA:128454,CMA,0,0,0,0,False
text_metadata,87,CMA:134604,CMA,0,0,0,0,False
text_metadata,88,CMA:134948,CMA,0,0,0,0,False
text_metadata,89,CMA:137312,CMA,0,0,0,0,False
text_metadata,90,CMA:149062,CMA,0,0,0,0,False
text_metadata,91,CMA:152819,CMA,0,0,0,0,False
text_metadata,92,CMA:155505,CMA,0,0,0,0,False
text_metadata,93,CMA:155934,CMA,0,0,0,0,False
text_metadata,94,CMA:156237,CMA,0,0,0,0,False
text_metadata,95,CMA:160692,CMA,0,0,0,0,False
text_metadata,96,CMA:163622,CMA,0,0,0,0,False
text_metadata,97,CMA:163640,CMA,0,0,0,0,False
text_metadata,98,CMA:163676,CMA,0,0,0,0,False
text_metadata,99,CMA:163708,CMA,0,0,0,0,False
text_metadata,100,CMA:163758,CMA,0,0,0,0,False
text_metadata,101,CMA:163781,CMA,0,0,0,0,False
text_metadata,102,CMA:164419,CMA,0,0,0,0,False
text_metadata,103,CMA:164421,CMA,0,0,0,0,False
text_metadata,104,CMA:165266,CMA,0,0,0,0,False
text_metadata,105,CMA:165267,CMA,0,0,0,0,False
text_metadata,106,CMA:165269,CMA,0,0,0,0,False
text_metadata,107,CMA:166766,CMA,0,0,0,0,False
text_metadata,108,CMA:292530,CMA,0,0,0,0,False
text_metadata,109,MET:307449,MET,0,0,0,0,False
text_metadata,110,MET:307677,MET,0,0,0,0,False
text_metadata,111,MET:307679,MET,0,0,0,0,False
text_metadata,112,MET:307682,MET,0,0,0,0,False
text_metadata,113,MET:307683,MET,0,0,0,0,False
text_metadata,114,MET:307806,MET,0,0,0,0,False
text_metadata,115,MET:307836,MET,0,0,0,0,False
text_metadata,116,MET:307841,MET,0,0,0,0,False
text_metadata,117,MET:307842,MET,0,0,0,0,False
text_metadata,118,MET:307843,MET,0,0,0,0,False
text_metadata,119,MET:307844,MET,0,0,0,0,False
text_metadata,120,MET:307846,MET,0,0,0,0,False
text_metadata,121,MET:307851,MET,0,0,0,0,False
text_metadata,122,MET:307852,MET,0,0,0,0,False
text_metadata,123,MET:307853,MET,0,0,0,0,False
text_metadata,124,MET:307933,MET,0,0,0,0,False
text_metadata,125,MET:307940,MET,0,0,0,0,False
text_metadata,126,MET:307941,MET,0,0,0,0,False
text_metadata,127,MET:307943,MET,0,0,0,0,False
text_metadata,128,MET:307950,MET,0,0,0,0,False
text_metadata,129,MET:307953,MET,0,0,0,0,False
text_metadata,130,MET:307959,MET,0,0,0,0,False
text_metadata,131,MET:307962,MET,0,0,0,0,False
text_metadata,132,MET:307963,MET,0,0,0,0,False
text_metadata,133,MET:307964,MET,0,0,0,0,False
text_metadata,134,MET:307965,MET,0,0,0,0,False
text_metadata,135,MET:307966,MET,0,0,0,0,False
text_metadata,136,MET:307967,MET,0,0,0,0,False
text_metadata,137,MET:307968,MET,0,0,0,0,False
text_metadata,138,MET:307972,MET,0,0,0,0,False
text_metadata,139,MET:307975,MET,0,0,0,0,False
text_metadata,140,MET:307991,MET,0,0,0,0,False
text_metadata,141,MET:308015,MET,0,0,0,0,False
text_metadata,142,MET:308016,MET,0,0,0,0,False
text_metadata,143,MET:308017,MET,0,0,0,0,False
text_metadata,144,MET:308021,MET,0,0,0,0,False
text_metadata,145,MET:308022,MET,0,0,0,0,False
text_metadata,146,MET:308023,MET,0,0,0,0,False
text_metadata,147,MET:308024,MET,0,0,0,0,False
text_metadata,148,MET:308025,MET,0,0,0,0,False
text_metadata,149,MET:308026,MET,0,0,0,0,False
text_metadata,150,MET:308027,MET,0,0,0,0,False
text_metadata,151,MET:308029,MET,0,0,0,0,False
text_metadata,152,MET:308034,MET,0,0,0,0,False
text_metadata,153,MET:308036,MET,0,0,0,0,False
text_metadata,154,MET:308037,MET,0,0,0,0,False
text_metadata,155,MET:308040,MET,0,0,0,0,False
text_metadata,156,MET:308042,MET,0,0,0,0,False
text_metadata,157,MET:308044,MET,0,0,0,0,False
text_metadata,158,MET:308046,MET,0,0,0,0,False
text_metadata,159,MET:308053,MET,0,0,0,0,False
text_metadata,160,MET:308056,MET,0,0,0,0,False
text_metadata,161,MET:308057,MET,0,0,0,0,False
text_metadata,162,MET:308060,MET,0,0,0,0,False
text_metadata,163,MET:308068,MET,0,0,0,0,False
text_metadata,164,MET:308072,MET,0,0,0,0,False
text_metadata,165,MET:308076,MET,0,0,0,0,False
text_metadata,166,MET:308077,MET,0,0,0,0,False
text_metadata,167,MET:308078,MET,0,0,0,0,False
text_metadata,168,MET:308079,MET,0,0,0,0,False
text_metadata,169,MET:308083,MET,0,0,0,0,False
text_metadata,170,MET:308084,MET,0,0,0,0,False
text_metadata,171,MET:308098,MET,0,0,0,0,False
text_metadata,172,MET:308101,MET,0,0,0,0,False
text_metadata,173,MET:308105,MET,0,0,0,0,False
text_metadata,174,MET:308106,MET,0,0,0,0,False
text_metadata,175,MET:308113,MET,0,0,0,0,False
text_metadata,176,MET:308120,MET,0,0,0,0,False
text_metadata,177,MET:308282,MET,0,0,0,0,False
text_metadata,178,MET:308284,MET,0,0,0,0,False
text_metadata,179,MET:308285,MET,0,0,0,0,False
text_metadata,180,MET:308290,MET,0,0,0,0,False
text_metadata,181,MET:309528,MET,0,0,0,0,False
text_metadata,182,MET:310059,MET,0,0,0,0,False
text_metadata,183,MET:310511,MET,0,0,0,0,False
text_metadata,184,MET:310695,MET,0,0,0,0,False
text_metadata,185,MET:310697,MET,0,0,0,0,False
text_metadata,186,MET:310698,MET,0,0,0,0,False
text_metadata,187,MET:312614,MET,0,0,0,0,False
text_metadata,188,MET:312615,MET,0,0,0,0,False
text_metadata,189,MET:312669,MET,0,0,0,0,False
text_metadata,190,MET:313121,MET,0,0,0,0,False
text_metadata,191,MET:313152,MET,0,0,0,0,False
text_metadata,192,MET:313324,MET,0,0,0,0,False
text_metadata,193,MET:314363,MET,0,0,0,0,False
text_metadata,194,MET:314528,MET,0,0,0,0,False
text_metadata,195,MET:315690,MET,0,0,0,0,False
text_metadata,196,MET:315700,MET,0,0,0,0,False
text_metadata,197,MET:315708,MET,0,0,0,0,False
text_metadata,198,MET:315772,MET,0,0,0,0,False
text_metadata,199,MET:316892,MET,0,0,0,0,False
text_metadata,200,MET:316894,MET,0,0,0,0,False
text_metadata,201,MET:316906,MET,0,0,0,0,False
text_metadata,202,MET:316910,MET,0,0,0,0,False
text_metadata,203,MET:316915,MET,0,0,0,0,False
text_metadata,204,MET:316916,MET,0,0,0,0,False
text_metadata,205,MET:316921,MET,0,0,0,0,False
text_metadata,206,MET:316925,MET,0,0,0,0,False
text_metadata,207,MET:316931,MET,0,0,0,0,False
text_metadata,208,MET:316935,MET,0,0,0,0,False
text_metadata,209,MET:316945,MET,0,0,0,0,False
text_metadata,210,MET:317736,MET,0,0,0,0,False
text_metadata,211,MET:318746,MET,0,0,0,0,False
text_metadata,212,MET:319524,MET,0,0,0,0,False
text_metadata,213,MET:319574,MET,0,0,0,0,False
text_metadata,214,MET:751900,MET,0,0,0,0,False
text_metadata,215,MET:833953,MET,0,0,0,0,False
text_fused_alpha_0.50,1,MET:308048,MET,71,1,70,0.33023255814,True
text_fused_alpha_0.50,2,CMA:119689,CMA,18,0,18,0.0837209302326,True
text_fused_alpha_0.50,3,MET:308283,MET,14,0,14,0.0651162790698,True
text_fused_alpha_0.50,4,MET:318460,MET,12,0,12,0.0558139534884,True
text_fused_alpha_0.50,5,MET:308070,MET,9,0,9,0.0418604651163,True
text_fused_alpha_0.50,6,CMA:165184,CMA,8,0,8,0.0372093023256,True
text_fused_alpha_0.50,7,MET:313153,MET,8,0,8,0.0372093023256,True
text_fused_alpha_0.50,8,CMA:124741,CMA,6,0,6,0.0279069767442,True
text_fused_alpha_0.50,9,MET:308290,MET,6,0,6,0.0279069767442,True
text_fused_alpha_0.50,10,CMA:104241,CMA,5,0,5,0.0232558139535,True
text_fused_alpha_0.50,11,MET:313121,MET,5,0,5,0.0232558139535,True
text_fused_alpha_0.50,12,MET:320054,MET,5,0,5,0.0232558139535,True
text_fused_alpha_0.50,13,CMA:119687,CMA,4,0,4,0.0186046511628,True
text_fused_alpha_0.50,14,CMA:165268,CMA,4,0,4,0.0186046511628,True
